date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2018-07-01,0,0,0,0,2018-07,0.0
2018-07-02,0,0,0,0,2018-07,0.0
2018-07-03,0,0,0,0,2018-07,0.0
2018-07-04,0,0,0,0,2018-07,0.0
2018-07-05,0,0,0,0,2018-07,0.0
2018-07-06,0,0,0,0,2018-07,0.0
2018-07-07,0,0,0,0,2018-07,0.0
2018-07-08,0,0,0,0,2018-07,0.0
2018-07-09,0,0,0,0,2018-07,0.0
2018-07-10,0,0,0,0,2018-07,0.0
2018-07-11,78,1,78,793,2018-07,189.21999999999994
2018-07-12,0,0,0,0,2018-07,0.0
2018-07-13,0,0,0,0,2018-07,0.0
2018-07-14,0,0,0,0,2018-07,0.0
2018-07-15,0,0,0,0,2018-07,0.0
2018-07-16,0,0,0,0,2018-07,0.0
2018-07-17,0,0,0,0,2018-07,0.0
2018-07-18,0,0,0,0,2018-07,0.0
2018-07-19,0,0,0,0,2018-07,0.0
2018-07-20,0,0,0,0,2018-07,0.0
2018-07-21,0,0,0,0,2018-07,0.0
2018-07-22,0,0,0,0,2018-07,0.0
2018-07-23,0,0,0,0,2018-07,0.0
2018-07-24,0,0,0,0,2018-07,0.0
2018-07-25,0,0,0,0,2018-07,0.0
2018-07-26,0,0,0,0,2018-07,0.0
2018-07-27,0,0,0,0,2018-07,0.0
2018-07-28,0,0,0,0,2018-07,0.0
2018-07-29,0,0,0,0,2018-07,0.0
2018-07-30,0,0,0,0,2018-07,0.0
2018-07-31,0,0,0,0,2018-07,0.0
2018-08-01,0,0,0,0,2018-08,0.0
2018-08-02,0,0,0,0,2018-08,0.0
2018-08-03,0,0,0,0,2018-08,0.0
2018-08-04,0,0,0,0,2018-08,0.0
2018-08-05,0,0,0,0,2018-08,0.0
2018-08-06,0,0,0,0,2018-08,0.0
2018-08-07,0,0,0,0,2018-08,0.0
2018-08-08,0,0,0,0,2018-08,0.0
2018-08-09,0,0,0,0,2018-08,0.0
2018-08-10,0,0,0,0,2018-08,0.0
2018-08-11,0,0,0,0,2018-08,0.0
2018-08-12,0,0,0,0,2018-08,0.0
2018-08-13,0,0,0,0,2018-08,0.0
2018-08-14,0,0,0,0,2018-08,0.0
2018-08-15,0,0,0,0,2018-08,0.0
2018-08-16,0,0,0,0,2018-08,0.0
2018-08-17,0,0,0,0,2018-08,0.0
2018-08-18,0,0,0,0,2018-08,0.0
2018-08-19,0,0,0,0,2018-08,0.0
2018-08-20,0,0,0,0,2018-08,0.0
2018-08-21,0,0,0,0,2018-08,0.0
2018-08-22,0,0,0,0,2018-08,0.0
2018-08-23,0,0,0,0,2018-08,0.0
2018-08-24,0,0,0,0,2018-08,0.0
2018-08-25,0,0,0,0,2018-08,0.0
2018-08-26,0,0,0,0,2018-08,0.0
2018-08-27,0,0,0,0,2018-08,0.0
2018-08-28,0,0,0,0,2018-08,0.0
2018-08-29,0,0,0,0,2018-08,0.0
2018-08-30,0,0,0,0,2018-08,0.0
2018-08-31,0,0,0,0,2018-08,0.0
2018-09-01,0,0,0,0,2018-09,0.0
2018-09-02,0,0,0,0,2018-09,0.0
2018-09-03,0,0,0,0,2018-09,0.0
2018-09-04,0,0,0,0,2018-09,0.0
2018-09-05,0,0,0,0,2018-09,0.0
2018-09-06,0,0,0,0,2018-09,0.0
2018-09-07,0,0,0,0,2018-09,0.0
2018-09-08,0,0,0,0,2018-09,0.0
2018-09-09,0,0,0,0,2018-09,0.0
2018-09-10,0,0,0,0,2018-09,0.0
2018-09-11,0,0,0,0,2018-09,0.0
2018-09-12,0,0,0,0,2018-09,0.0
2018-09-13,0,0,0,0,2018-09,0.0
2018-09-14,0,0,0,0,2018-09,0.0
2018-09-15,0,0,0,0,2018-09,0.0
2018-09-16,0,0,0,0,2018-09,0.0
2018-09-17,0,0,0,0,2018-09,0.0
2018-09-18,0,0,0,0,2018-09,0.0
2018-09-19,0,0,0,0,2018-09,0.0
2018-09-20,0,0,0,0,2018-09,0.0
2018-09-21,0,0,0,0,2018-09,0.0
2018-09-22,0,0,0,0,2018-09,0.0
2018-09-23,0,0,0,0,2018-09,0.0
2018-09-24,0,0,0,0,2018-09,0.0
2018-09-25,0,0,0,0,2018-09,0.0
2018-09-26,0,0,0,0,2018-09,0.0
2018-09-27,0,0,0,0,2018-09,0.0
2018-09-28,0,0,0,0,2018-09,0.0
2018-09-29,0,0,0,0,2018-09,0.0
2018-09-30,0,0,0,0,2018-09,0.0
2018-10-01,0,0,0,0,2018-10,0.0
2018-10-02,0,0,0,0,2018-10,0.0
2018-10-03,0,0,0,0,2018-10,0.0
2018-10-04,0,0,0,0,2018-10,0.0
2018-10-05,0,0,0,0,2018-10,0.0
2018-10-06,0,0,0,0,2018-10,0.0
2018-10-07,0,0,0,0,2018-10,0.0
2018-10-08,0,0,0,0,2018-10,0.0
2018-10-09,0,0,0,0,2018-10,0.0
2018-10-10,0,0,0,0,2018-10,0.0
2018-10-11,0,0,0,0,2018-10,0.0
2018-10-12,0,0,0,0,2018-10,0.0
2018-10-13,0,0,0,0,2018-10,0.0
2018-10-14,0,0,0,0,2018-10,0.0
2018-10-15,0,0,0,0,2018-10,0.0
2018-10-16,0,0,0,0,2018-10,0.0
2018-10-17,0,0,0,0,2018-10,0.0
2018-10-18,0,0,0,0,2018-10,0.0
2018-10-19,0,0,0,0,2018-10,0.0
2018-10-20,0,0,0,0,2018-10,0.0
2018-10-21,0,0,0,0,2018-10,0.0
2018-10-22,0,0,0,0,2018-10,0.0
2018-10-23,0,0,0,0,2018-10,0.0
2018-10-24,0,0,0,0,2018-10,0.0
2018-10-25,0,0,0,0,2018-10,0.0
2018-10-26,0,0,0,0,2018-10,0.0
2018-10-27,0,0,0,0,2018-10,0.0
2018-10-28,0,0,0,0,2018-10,0.0
2018-10-29,0,0,0,0,2018-10,0.0
2018-10-30,0,0,0,0,2018-10,0.0
2018-10-31,0,0,0,0,2018-10,0.0
2018-11-01,41,1,41,412,2018-11,106.31
2018-11-02,0,0,0,0,2018-11,0.0
2018-11-03,0,0,0,0,2018-11,0.0
2018-11-04,0,0,0,0,2018-11,0.0
2018-11-05,0,0,0,0,2018-11,0.0
2018-11-06,0,0,0,0,2018-11,0.0
2018-11-07,0,0,0,0,2018-11,0.0
2018-11-08,0,0,0,0,2018-11,0.0
2018-11-09,0,0,0,0,2018-11,0.0
2018-11-10,0,0,0,0,2018-11,0.0
2018-11-11,0,0,0,0,2018-11,0.0
2018-11-12,0,0,0,0,2018-11,0.0
2018-11-13,0,0,0,0,2018-11,0.0
2018-11-14,0,0,0,0,2018-11,0.0
2018-11-15,0,0,0,0,2018-11,0.0
2018-11-16,0,0,0,0,2018-11,0.0
2018-11-17,0,0,0,0,2018-11,0.0
2018-11-18,0,0,0,0,2018-11,0.0
2018-11-19,0,0,0,0,2018-11,0.0
2018-11-20,0,0,0,0,2018-11,0.0
2018-11-21,0,0,0,0,2018-11,0.0
2018-11-22,0,0,0,0,2018-11,0.0
2018-11-23,0,0,0,0,2018-11,0.0
2018-11-24,0,0,0,0,2018-11,0.0
2018-11-25,0,0,0,0,2018-11,0.0
2018-11-26,0,0,0,0,2018-11,0.0
2018-11-27,0,0,0,0,2018-11,0.0
2018-11-28,0,0,0,0,2018-11,0.0
2018-11-29,0,0,0,0,2018-11,0.0
2018-11-30,0,0,0,0,2018-11,0.0
